param sigma
1 26 19.27
1 27 19.88
1 28 20.43
1 29 20.93
1 30 21.39
1 31 21.82
1 32 22.23
1 33 22.60
1 34 22.95
1 35 23.27
1 36 23.56
1 37 23.83
1 38 24.05
1 39 24.22
1 40 24.32
1 41 24.31
1 42 24.04
1 43 23.26
1 44 12.52
1 45 13.50
1 46 14.53
1 47 15.58
1 48 16.62
1 49 17.66
1 50 18.68
1 51 19.70
1 52 20.70
1 53 21.70
1 54 22.69
1 55 23.67
1 56 24.64
1 57 25.61
1 58 26.57
1 59 27.54
1 60 28.52
1 61 29.50
1 62 30.51
1 63 31.59
1 64 32.89
1 65 26.30
2 1 9.66
2 2 0.00
2 3 1.42
2 4 2.67
2 5 3.81
2 6 4.88
2 7 5.91
2 8 6.91
2 9 7.87
2 10 8.82
2 11 9.75
2 12 10.67
2 13 11.57
2 14 12.48
2 15 13.38
2 16 14.28
2 17 15.18
2 18 16.10
2 19 17.03
2 20 18.00
2 21 19.06
2 22 20.45
2 23 7.57
2 24 8.35
2 25 9.02
2 26 9.63
2 27 10.22
2 28 10.78
2 29 11.33
2 30 11.87
2 31 12.40
2 32 12.93
2 33 13.46
2 34 13.98
2 35 14.50
2 36 15.01
2 37 15.51
2 38 16.01
2 39 16.49
2 40 16.96
2 41 17.40
2 42 17.76
2 43 18.06
2 44 7.57
2 45 9.00
2 46 10.23
2 47 11.35
2 48 12.40
2 49 13.38
2 50 14.32
2 51 15.22
2 52 16.09
2 53 16.94
2 54 17.77
2 55 18.58
2 56 19.37
2 57 20.15
2 58 20.91
2 59 21.66
2 60 22.40
2 61 23.13
2 62 23.83
2 63 24.51
2 64 25.22
2 65 17.80
3 1 8.41
3 2 1.42
3 3 0.00
3 4 1.25
3 5 2.41
3 6 3.49
3 7 4.54
3 8 5.55
3 9 6.53
3 10 7.50
3 11 8.45
3 12 9.40
3 13 10.33
3 14 11.26
3 15 12.19
3 16 13.12
3 17 14.06
3 18 15.02
3 19 16.00
3 20 17.03
3 21 18.18
3 22 19.72
3 23 9.00
3 24 9.76
3 25 10.40
3 26 10.98
3 27 11.52
3 28 12.03
3 29 12.52
3 30 13.00
3 31 13.48
3 32 13.94
3 33 14.40
3 34 14.85
3 35 15.30
3 36 15.74
3 37 16.17
3 38 16.58
3 39 16.98
3 40 17.36
3 41 17.68
3 42 17.90
3 43 17.98
3 44 8.35
3 45 9.76
3 46 11.01
3 47 12.16
3 48 13.23
3 49 14.24
3 50 15.21
3 51 16.15
3 52 17.05
3 53 17.93
3 54 18.79
3 55 19.63
3 56 20.45
3 57 21.26
3 58 22.05
3 59 22.83
3 60 23.60
3 61 24.36
3 62 25.10
3 63 25.82
3 64 26.58
3 65 19.21
4 1 7.26
4 2 2.67
4 3 1.25
4 4 0.00
4 5 1.16
4 6 2.25
4 7 3.31
4 8 4.33
4 9 5.33
4 10 6.31
4 11 7.27
4 12 8.23
4 13 9.19
4 14 10.14
4 15 11.09
4 16 12.04
4 17 13.01
4 18 14.00
4 19 15.02
4 20 16.10
4 21 17.32
4 22 18.98
4 23 10.23
4 24 11.01
4 25 11.65
4 26 12.22
4 27 12.73
4 28 13.22
4 29 13.68
4 30 14.13
4 31 14.57
4 32 14.99
4 33 15.40
4 34 15.81
4 35 16.21
4 36 16.59
4 37 16.97
4 38 17.32
4 39 17.66
4 40 17.95
4 41 18.19
4 42 18.29
4 43 18.17
4 44 9.02
4 45 10.40
4 46 11.65
4 47 12.81
4 48 13.89
4 49 14.93
4 50 15.92
4 51 16.88
4 52 17.81
4 53 18.71
4 54 19.60
4 55 20.46
4 56 21.31
4 57 22.14
4 58 22.96
4 59 23.77
4 60 24.57
4 61 25.36
4 62 26.13
4 63 26.90
4 64 27.72
4 65 20.41
5 1 6.18
5 2 3.81
5 3 2.41
5 4 1.16
5 5 0.00
5 6 1.10
5 7 2.16
5 8 3.19
5 9 4.19
5 10 5.18
5 11 6.16
5 12 7.13
5 13 8.10
5 14 9.06
5 15 10.03
5 16 11.01
5 17 12.00
5 18 13.01
5 19 14.06
5 20 15.18
5 21 16.47
5 22 18.24
5 23 11.35
5 24 12.16
5 25 12.81
5 26 13.37
5 27 13.89
5 28 14.36
5 29 14.81
5 30 15.24
5 31 15.65
5 32 16.05
5 33 16.43
5 34 16.80
5 35 17.17
5 36 17.51
5 37 17.84
5 38 18.15
5 39 18.44
5 40 18.67
5 41 18.84
5 42 18.84
5 43 18.56
5 44 9.63
5 45 10.98
5 46 12.22
5 47 13.37
5 48 14.47
5 49 15.52
5 50 16.53
5 51 17.50
5 52 18.45
5 53 19.38
5 54 20.28
5 55 21.17
5 56 22.04
5 57 22.90
5 58 23.74
5 59 24.58
5 60 25.40
5 61 26.22
5 62 27.03
5 63 27.84
5 64 28.72
5 65 21.49
6 1 5.14
6 2 4.88
6 3 3.49
6 4 2.25
6 5 1.10
6 6 0.00
6 7 1.06
6 8 2.09
6 9 3.10
6 10 4.10
6 11 5.09
6 12 6.07
6 13 7.05
6 14 8.02
6 15 9.01
6 16 10.00
6 17 11.01
6 18 12.04
6 19 13.12
6 20 14.28
6 21 15.62
6 22 17.49
6 23 12.40
6 24 13.23
6 25 13.89
6 26 14.47
6 27 14.98
6 28 15.46
6 29 15.90
6 30 16.32
6 31 16.72
6 32 17.10
6 33 17.46
6 34 17.81
6 35 18.15
6 36 18.47
6 37 18.77
6 38 19.04
6 39 19.28
6 40 19.48
6 41 19.58
6 42 19.50
6 43 19.08
6 44 10.22
6 45 11.52
6 46 12.73
6 47 13.89
6 48 14.98
6 49 16.04
6 50 17.06
6 51 18.05
6 52 19.02
6 53 19.96
6 54 20.88
6 55 21.79
6 56 22.68
6 57 23.56
6 58 24.43
6 59 25.29
6 60 26.14
6 61 26.99
6 62 27.83
6 63 28.68
6 64 29.63
6 65 22.47
7 1 4.13
7 2 5.91
7 3 4.54
7 4 3.31
7 5 2.16
7 6 1.06
7 7 0.00
7 8 1.03
7 9 2.05
7 10 3.05
7 11 4.04
7 12 5.03
7 13 6.02
7 14 7.00
7 15 8.00
7 16 9.01
7 17 10.03
7 18 11.09
7 19 12.19
7 20 13.38
7 21 14.77
7 22 16.73
7 23 13.38
7 24 14.24
7 25 14.93
7 26 15.52
7 27 16.04
7 28 16.52
7 29 16.96
7 30 17.37
7 31 17.77
7 32 18.14
7 33 18.49
7 34 18.83
7 35 19.15
7 36 19.45
7 37 19.72
7 38 19.97
7 39 20.18
7 40 20.33
7 41 20.39
7 42 20.24
7 43 19.71
7 44 10.78
7 45 12.03
7 46 13.22
7 47 14.36
7 48 15.46
7 49 16.52
7 50 17.55
7 51 18.55
7 52 19.52
7 53 20.48
7 54 21.42
7 55 22.35
7 56 23.26
7 57 24.16
7 58 25.05
7 59 25.93
7 60 26.80
7 61 27.68
7 62 28.55
7 63 29.44
7 64 30.46
7 65 23.39
8 1 3.13
8 2 6.91
8 3 5.55
8 4 4.33
8 5 3.19
8 6 2.09
8 7 1.03
8 8 0.00
8 9 1.02
8 10 2.02
8 11 3.02
8 12 4.01
8 13 5.00
8 14 6.00
8 15 7.00
8 16 8.02
8 17 9.06
8 18 10.14
8 19 11.26
8 20 12.48
8 21 13.91
8 22 15.97
8 23 14.32
8 24 15.21
8 25 15.92
8 26 16.53
8 27 17.06
8 28 17.55
8 29 17.99
8 30 18.41
8 31 18.80
8 32 19.17
8 33 19.51
8 34 19.84
8 35 20.15
8 36 20.43
8 37 20.69
8 38 20.92
8 39 21.10
8 40 21.23
8 41 21.25
8 42 21.05
8 43 20.41
8 44 11.33
8 45 12.52
8 46 13.68
8 47 14.81
8 48 15.90
8 49 16.96
8 50 17.99
8 51 19.00
8 52 19.99
8 53 20.96
8 54 21.91
8 55 22.85
8 56 23.78
8 57 24.70
8 58 25.61
8 59 26.51
8 60 27.41
8 61 28.31
8 62 29.22
8 63 30.15
8 64 31.23
8 65 24.25
9 1 2.17
9 2 7.87
9 3 6.53
9 4 5.33
9 5 4.19
9 6 3.10
9 7 2.05
9 8 1.02
9 9 0.00
9 10 1.01
9 11 2.01
9 12 3.00
9 13 4.00
9 14 5.00
9 15 6.02
9 16 7.05
9 17 8.10
9 18 9.19
9 19 10.33
9 20 11.57
9 21 13.06
9 22 15.19
9 23 15.22
9 24 16.14
9 25 16.88
9 26 17.50
9 27 18.05
9 28 18.55
9 29 19.00
9 30 19.42
9 31 19.81
9 32 20.18
9 33 20.53
9 34 20.85
9 35 21.15
9 36 21.43
9 37 21.67
9 38 21.89
9 39 22.05
9 40 22.16
9 41 22.15
9 42 21.91
9 43 21.19
9 44 11.87
9 45 13.00
9 46 14.13
9 47 15.24
9 48 16.32
9 49 17.37
9 50 18.41
9 51 19.42
9 52 20.42
9 53 21.40
9 54 22.36
9 55 23.32
9 56 24.26
9 57 25.19
9 58 26.12
9 59 27.05
9 60 27.97
9 61 28.89
9 62 29.83
9 63 30.81
9 64 31.95
9 65 25.07
10 1 1.24
10 2 8.82
10 3 7.50
10 4 6.31
10 5 5.18
10 6 4.10
10 7 3.05
10 8 2.02
10 9 1.01
10 10 0.00
10 11 1.00
10 12 2.00
10 13 3.00
10 14 4.01
10 15 5.03
10 16 6.07
10 17 7.13
10 18 8.23
10 19 9.40
10 20 10.67
10 21 12.19
10 22 14.40
10 23 16.10
10 24 17.05
10 25 17.81
10 26 18.45
10 27 19.02
10 28 19.52
10 29 19.99
10 30 20.42
10 31 20.82
10 32 21.19
10 33 21.53
10 34 21.86
10 35 22.15
10 36 22.42
10 37 22.66
10 38 22.87
10 39 23.02
10 40 23.11
10 41 23.08
10 42 22.80
10 43 22.02
10 44 12.41
10 45 13.48
10 46 14.57
10 47 15.65
10 48 16.72
10 49 17.77
10 50 18.80
10 51 19.82
10 52 20.82
10 53 21.80
10 54 22.78
10 55 23.75
10 56 24.70
10 57 25.65
10 58 26.60
10 59 27.54
10 60 28.48
10 61 29.43
10 62 30.40
10 63 31.42
10 64 32.62
10 65 25.85
11 1 0.58
11 2 9.75
11 3 8.45
11 4 7.27
11 5 6.16
11 6 5.09
11 7 4.04
11 8 3.02
11 9 2.01
11 10 1.00
11 11 0.00
11 12 1.00
11 13 2.01
11 14 3.02
11 15 4.04
11 16 5.09
11 17 6.16
11 18 7.27
11 19 8.45
11 20 9.75
11 21 11.31
11 22 13.60
11 23 16.94
11 24 17.93
11 25 18.71
11 26 19.38
11 27 19.96
11 28 20.48
11 29 20.96
11 30 21.40
11 31 21.80
11 32 22.18
11 33 22.53
11 34 22.86
11 35 23.15
11 36 23.42
11 37 23.66
11 38 23.86
11 39 24.00
11 40 24.08
11 41 24.03
11 42 23.73
11 43 22.89
11 44 12.93
11 45 13.94
11 46 14.99
11 47 16.05
11 48 17.10
11 49 18.14
11 50 19.17
11 51 20.18
11 52 21.19
11 53 22.18
11 54 23.17
11 55 24.14
11 56 25.11
11 57 26.07
11 58 27.03
11 59 28.00
11 60 28.96
11 61 29.93
11 62 30.93
11 63 31.99
11 64 33.26
11 65 26.59
12 1 1.02
12 2 10.67
12 3 9.40
12 4 8.23
12 5 7.13
12 6 6.07
12 7 5.03
12 8 4.01
12 9 3.00
12 10 2.00
12 11 1.00
12 12 0.00
12 13 1.01
12 14 2.02
12 15 3.05
12 16 4.10
12 17 5.18
12 18 6.31
12 19 7.50
12 20 8.82
12 21 10.42
12 22 12.78
12 23 17.77
12 24 18.79
12 25 19.59
12 26 20.28
12 27 20.88
12 28 21.42
12 29 21.91
12 30 22.36
12 31 22.78
12 32 23.16
12 33 23.52
12 34 23.85
12 35 24.15
12 36 24.42
12 37 24.66
12 38 24.85
12 39 25.00
12 40 25.06
12 41 25.01
12 42 24.68
12 43 23.81
12 44 13.46
12 45 14.40
12 46 15.40
12 47 16.43
12 48 17.46
12 49 18.49
12 50 19.51
12 51 20.53
12 52 21.53
12 53 22.53
12 54 23.52
12 55 24.51
12 56 25.49
12 57 26.46
12 58 27.44
12 59 28.42
12 60 29.40
12 61 30.40
12 62 31.42
12 63 32.52
12 64 33.86
12 65 27.30
13 1 1.92
13 2 11.57
13 3 10.33
13 4 9.19
13 5 8.10
13 6 7.05
13 7 6.02
13 8 5.00
13 9 4.00
13 10 3.00
13 11 2.01
13 12 1.01
13 13 0.00
13 14 1.02
13 15 2.05
13 16 3.10
13 17 4.19
13 18 5.33
13 19 6.53
13 20 7.87
13 21 9.51
13 22 11.95
13 23 18.58
13 24 19.63
13 25 20.46
13 26 21.17
13 27 21.79
13 28 22.35
13 29 22.85
13 30 23.32
13 31 23.74
13 32 24.14
13 33 24.51
13 34 24.84
13 35 25.15
13 36 25.43
13 37 25.66
13 38 25.86
13 39 26.00
13 40 26.07
13 41 26.00
13 42 25.66
13 43 24.76
13 44 13.98
13 45 14.85
13 46 15.81
13 47 16.80
13 48 17.81
13 49 18.83
13 50 19.84
13 51 20.85
13 52 21.86
13 53 22.86
13 54 23.85
13 55 24.84
13 56 25.83
13 57 26.82
13 58 27.81
13 59 28.80
13 60 29.81
13 61 30.83
13 62 31.88
13 63 33.02
13 64 34.42
13 65 27.99
14 1 2.89
14 2 12.48
14 3 11.26
14 4 10.14
14 5 9.06
14 6 8.02
14 7 7.00
14 8 6.00
14 9 5.00
14 10 4.01
14 11 3.02
14 12 2.02
14 13 1.02
14 14 0.00
14 15 1.03
14 16 2.09
14 17 3.19
14 18 4.33
14 19 5.55
14 20 6.91
14 21 8.58
14 22 11.09
14 23 19.37
14 24 20.45
14 25 21.31
14 26 22.04
14 27 22.68
14 28 23.26
14 29 23.78
14 30 24.26
14 31 24.70
14 32 25.11
14 33 25.49
14 34 25.83
14 35 26.15
14 36 26.43
14 37 26.67
14 38 26.87
14 39 27.02
14 40 27.08
14 41 27.02
14 42 26.67
14 43 25.74
14 44 14.50
14 45 15.30
14 46 16.21
14 47 17.17
14 48 18.15
14 49 19.15
14 50 20.15
14 51 21.15
14 52 22.15
14 53 23.15
14 54 24.15
14 55 25.15
14 56 26.15
14 57 27.15
14 58 28.15
14 59 29.16
14 60 30.18
14 61 31.22
14 62 32.30
14 63 33.48
14 64 34.94
14 65 28.65
15 1 3.88
15 2 13.38
15 3 12.19
15 4 11.09
15 5 10.03
15 6 9.01
15 7 8.00
15 8 7.00
15 9 6.02
15 10 5.03
15 11 4.04
15 12 3.05
15 13 2.05
15 14 1.03
15 15 0.00
15 16 1.06
15 17 2.16
15 18 3.31
15 19 4.54
15 20 5.91
15 21 7.62
15 22 10.19
15 23 20.15
15 24 21.26
15 25 22.14
15 26 22.90
15 27 23.56
15 28 24.16
15 29 24.70
15 30 25.19
15 31 25.65
15 32 26.07
15 33 26.46
15 34 26.82
15 35 27.15
15 36 27.44
15 37 27.69
15 38 27.90
15 39 28.05
15 40 28.11
15 41 28.05
15 42 27.70
15 43 26.76
15 44 15.01
15 45 15.74
15 46 16.59
15 47 17.51
15 48 18.47
15 49 19.44
15 50 20.43
15 51 21.43
15 52 22.42
15 53 23.42
15 54 24.42
15 55 25.43
15 56 26.43
15 57 27.44
15 58 28.45
15 59 29.47
15 60 30.51
15 61 31.58
15 62 32.68
15 63 33.90
15 64 35.43
15 65 29.27
16 1 4.89
16 2 14.28
16 3 13.12
16 4 12.04
16 5 11.01
16 6 10.00
16 7 9.01
16 8 8.02
16 9 7.05
16 10 6.07
16 11 5.09
16 12 4.10
16 13 3.10
16 14 2.09
16 15 1.06
16 16 0.00
16 17 1.10
16 18 2.25
16 19 3.49
16 20 4.88
16 21 6.63
16 22 9.27
16 23 20.91
16 24 22.05
16 25 22.96
16 26 23.74
16 27 24.43
16 28 25.05
16 29 25.61
16 30 26.12
16 31 26.60
16 32 27.03
16 33 27.44
16 34 27.81
16 35 28.15
16 36 28.45
16 37 28.71
16 38 28.93
16 39 29.09
16 40 29.16
16 41 29.11
16 42 28.76
16 43 27.82
16 44 15.51
16 45 16.17
16 46 16.97
16 47 17.84
16 48 18.77
16 49 19.72
16 50 20.69
16 51 21.67
16 52 22.66
16 53 23.66
16 54 24.66
16 55 25.66
16 56 26.67
16 57 27.69
16 58 28.71
16 59 29.75
16 60 30.81
16 61 31.89
16 62 33.03
16 63 34.28
16 64 35.88
16 65 29.87
17 1 5.93
17 2 15.18
17 3 14.06
17 4 13.01
17 5 12.00
17 6 11.01
17 7 10.03
17 8 9.06
17 9 8.10
17 10 7.13
17 11 6.16
17 12 5.18
17 13 4.19
17 14 3.19
17 15 2.16
17 16 1.10
17 17 0.00
17 18 1.16
17 19 2.41
17 20 3.81
17 21 5.58
17 22 8.28
17 23 21.67
17 24 22.83
17 25 23.77
17 26 24.58
17 27 25.29
17 28 25.93
17 29 26.51
17 30 27.05
17 31 27.54
17 32 28.00
17 33 28.42
17 34 28.80
17 35 29.16
17 36 29.47
17 37 29.75
17 38 29.98
17 39 30.15
17 40 30.24
17 41 30.19
17 42 29.86
17 43 28.92
17 44 16.01
17 45 16.58
17 46 17.32
17 47 18.15
17 48 19.04
17 49 19.97
17 50 20.92
17 51 21.89
17 52 22.87
17 53 23.86
17 54 24.86
17 55 25.86
17 56 26.87
17 57 27.90
17 58 28.93
17 59 29.98
17 60 31.05
17 61 32.16
17 62 33.32
17 63 34.62
17 64 36.29
17 65 30.44
18 1 7.02
18 2 16.10
18 3 15.02
18 4 14.00
18 5 13.01
18 6 12.04
18 7 11.09
18 8 10.14
18 9 9.19
18 10 8.23
18 11 7.27
18 12 6.31
18 13 5.33
18 14 4.33
18 15 3.31
18 16 2.25
18 17 1.16
18 18 0.00
18 19 1.25
18 20 2.67
18 21 4.47
18 22 7.23
18 23 22.40
18 24 23.60
18 25 24.57
18 26 25.40
18 27 26.14
18 28 26.80
18 29 27.41
18 30 27.97
18 31 28.48
18 32 28.96
18 33 29.40
18 34 29.81
18 35 30.18
18 36 30.51
18 37 30.81
18 38 31.05
18 39 31.24
18 40 31.34
18 41 31.31
18 42 30.99
18 43 30.07
18 44 16.50
18 45 16.98
18 46 17.66
18 47 18.44
18 48 19.28
18 49 20.18
18 50 21.10
18 51 22.05
18 52 23.02
18 53 24.00
18 54 25.00
18 55 26.00
18 56 27.02
18 57 28.05
18 58 29.09
18 59 30.15
18 60 31.24
18 61 32.36
18 62 33.55
18 63 34.89
18 64 36.64
18 65 30.97
19 1 8.17
19 2 17.03
19 3 16.00
19 4 15.02
19 5 14.06
19 6 13.12
19 7 12.19
19 8 11.26
19 9 10.33
19 10 9.40
19 11 8.45
19 12 7.50
19 13 6.53
19 14 5.55
19 15 4.54
19 16 3.49
19 17 2.41
19 18 1.25
19 19 0.00
19 20 1.42
19 21 3.24
19 22 6.06
19 23 23.13
19 24 24.36
19 25 25.36
19 26 26.22
19 27 26.99
19 28 27.68
19 29 28.31
19 30 28.89
19 31 29.43
19 32 29.93
19 33 30.40
19 34 30.83
19 35 31.22
19 36 31.58
19 37 31.89
19 38 32.16
19 39 32.36
19 40 32.48
19 41 32.48
19 42 32.18
19 43 31.29
19 44 16.96
19 45 17.36
19 46 17.95
19 47 18.68
19 48 19.48
19 49 20.33
19 50 21.23
19 51 22.16
19 52 23.11
19 53 24.08
19 54 25.06
19 55 26.07
19 56 27.08
19 57 28.11
19 58 29.16
19 59 30.24
19 60 31.34
19 61 32.48
19 62 33.70
19 63 35.09
19 64 36.91
19 65 31.45
20 1 9.43
20 2 18.00
20 3 17.03
20 4 16.10
20 5 15.18
20 6 14.28
20 7 13.38
20 8 12.48
20 9 11.57
20 10 10.67
20 11 9.75
20 12 8.82
20 13 7.87
20 14 6.91
20 15 5.91
20 16 4.88
20 17 3.81
20 18 2.67
20 19 1.42
20 20 0.00
20 21 1.84
20 22 4.70
20 23 23.84
20 24 25.10
20 25 26.13
20 26 27.03
20 27 27.83
20 28 28.55
20 29 29.22
20 30 29.83
20 31 30.40
20 32 30.93
20 33 31.42
20 34 31.88
20 35 32.30
20 36 32.68
20 37 33.03
20 38 33.32
20 39 33.55
20 40 33.70
20 41 33.73
20 42 33.46
20 43 32.62
20 44 17.40
20 45 17.68
20 46 18.19
20 47 18.84
20 48 19.58
20 49 20.39
20 50 21.25
20 51 22.15
20 52 23.08
20 53 24.03
20 54 25.01
20 55 26.00
20 56 27.02
20 57 28.05
20 58 29.11
20 59 30.19
20 60 31.31
20 61 32.48
20 62 33.72
20 63 35.16
20 64 37.07
20 65 31.85
21 1 10.94
21 2 19.06
21 3 18.18
21 4 17.32
21 5 16.47
21 6 15.62
21 7 14.77
21 8 13.91
21 9 13.06
21 10 12.19
21 11 11.31
21 12 10.42
21 13 9.51
21 14 8.58
21 15 7.62
21 16 6.63
21 17 5.58
21 18 4.47
21 19 3.24
21 20 1.84
21 21 0.00
21 22 2.89
21 23 24.51
21 24 25.82
21 25 26.90
21 26 27.84
21 27 28.68
21 28 29.44
21 29 30.15
21 30 30.81
21 31 31.42
21 32 31.99
21 33 32.52
21 34 33.02
21 35 33.48
21 36 33.90
21 37 34.28
21 38 34.62
21 39 34.89
21 40 35.09
21 41 35.16
21 42 34.96
21 43 34.20
21 44 17.76
21 45 17.90
21 46 18.29
21 47 18.84
21 48 19.50
21 49 20.24
21 50 21.05
21 51 21.91
21 52 22.80
21 53 23.73
21 54 24.68
21 55 25.66
21 56 26.67
21 57 27.70
21 58 28.76
21 59 29.85
21 60 30.99
21 61 32.18
21 62 33.46
21 63 34.96
21 64 36.97
21 65 32.09
22 1 13.17
22 2 20.45
22 3 19.72
22 4 18.98
22 5 18.24
22 6 17.49
22 7 16.73
22 8 15.97
22 9 15.19
22 10 14.40
22 11 13.60
22 12 12.78
22 13 11.95
22 14 11.09
22 15 10.19
22 16 9.27
22 17 8.28
22 18 7.23
22 19 6.06
22 20 4.70
22 21 2.89
22 22 0.00
22 23 25.22
22 24 26.58
22 25 27.72
22 26 28.72
22 27 29.62
22 28 30.46
22 29 31.23
22 30 31.95
22 31 32.62
22 32 33.26
22 33 33.85
22 34 34.42
22 35 34.94
22 36 35.43
22 37 35.88
22 38 36.29
22 39 36.64
22 40 36.91
22 41 37.07
22 42 36.97
22 43 36.37
22 44 18.06
22 45 17.98
22 46 18.17
22 47 18.56
22 48 19.08
22 49 19.71
22 50 20.41
22 51 21.19
22 52 22.02
22 53 22.89
22 54 23.81
22 55 24.76
22 56 25.74
22 57 26.76
22 58 27.82
22 59 28.92
22 60 30.07
22 61 31.29
22 62 32.62
22 63 34.20
22 64 36.37
22 65 32.05
23 1 16.75
23 2 7.57
23 3 9.00
23 4 10.23
23 5 11.35
23 6 12.40
23 7 13.38
23 8 14.32
23 9 15.22
23 10 16.10
23 11 16.94
23 12 17.77
23 13 18.58
23 14 19.37
23 15 20.15
23 16 20.91
23 17 21.67
23 18 22.40
23 19 23.13
23 20 23.84
23 21 24.51
23 22 25.22
23 23 0.00
23 24 1.42
23 25 2.67
23 26 3.81
23 27 4.88
23 28 5.91
23 29 6.91
23 30 7.87
23 31 8.82
23 32 9.75
23 33 10.66
23 34 11.57
23 35 12.48
23 36 13.38
23 37 14.28
23 38 15.18
23 39 16.10
23 40 17.03
23 41 18.00
23 42 19.06
23 43 20.45
23 44 7.57
23 45 8.35
23 46 9.02
23 47 9.63
23 48 10.22
23 49 10.78
23 50 11.33
23 51 11.87
23 52 12.40
23 53 12.93
23 54 13.46
23 55 13.98
23 56 14.50
23 57 15.01
23 58 15.51
23 59 16.01
23 60 16.49
23 61 16.96
23 62 17.40
23 63 17.75
23 64 18.06
23 65 10.34
24 1 17.76
24 2 8.35
24 3 9.76
24 4 11.01
24 5 12.16
24 6 13.23
24 7 14.24
24 8 15.21
24 9 16.14
24 10 17.05
24 11 17.93
24 12 18.79
24 13 19.63
24 14 20.45
24 15 21.26
24 16 22.05
24 17 22.83
24 18 23.60
24 19 24.36
24 20 25.10
24 21 25.82
24 22 26.58
24 23 1.42
24 24 0.00
24 25 1.25
24 26 2.41
24 27 3.49
24 28 4.54
24 29 5.55
24 30 6.53
24 31 7.50
24 32 8.45
24 33 9.40
24 34 10.33
24 35 11.26
24 36 12.19
24 37 13.12
24 38 14.06
24 39 15.02
24 40 16.00
24 41 17.03
24 42 18.18
24 43 19.72
24 44 9.00
24 45 9.76
24 46 10.40
24 47 10.98
24 48 11.52
24 49 12.03
24 50 12.52
24 51 13.00
24 52 13.48
24 53 13.94
24 54 14.40
24 55 14.85
24 56 15.30
24 57 15.74
24 58 16.17
24 59 16.58
24 60 16.98
24 61 17.36
24 62 17.68
24 63 17.90
24 64 17.98
24 65 10.06
25 1 18.58
25 2 9.02
25 3 10.40
25 4 11.65
25 5 12.81
25 6 13.89
25 7 14.93
25 8 15.92
25 9 16.88
25 10 17.81
25 11 18.71
25 12 19.59
25 13 20.46
25 14 21.31
25 15 22.14
25 16 22.96
25 17 23.77
25 18 24.57
25 19 25.36
25 20 26.13
25 21 26.90
25 22 27.72
25 23 2.67
25 24 1.25
25 25 0.00
25 26 1.16
25 27 2.25
25 28 3.31
25 29 4.33
25 30 5.33
25 31 6.31
25 32 7.27
25 33 8.23
25 34 9.19
25 35 10.14
25 36 11.09
25 37 12.04
25 38 13.01
25 39 14.00
25 40 15.02
25 41 16.10
25 42 17.32
25 43 18.98
25 44 10.23
25 45 11.01
25 46 11.65
25 47 12.22
25 48 12.73
25 49 13.22
25 50 13.68
25 51 14.13
25 52 14.57
25 53 14.99
25 54 15.41
25 55 15.81
25 56 16.21
25 57 16.59
25 58 16.97
25 59 17.32
25 60 17.66
25 61 17.95
25 62 18.19
25 63 18.29
25 64 18.17
25 65 10.16
26 1 19.27
26 2 9.63
26 3 10.98
26 4 12.22
26 5 13.37
26 6 14.47
26 7 15.52
26 8 16.53
26 9 17.50
26 10 18.45
26 11 19.38
26 12 20.28
26 13 21.17
26 14 22.04
26 15 22.90
