param sigma
1 14 11.17
1 15 7.23
1 16 6.96
1 17 6.71
1 18 6.49
1 19 6.31
1 20 6.15
1 21 6.03
1 22 5.96
1 23 5.92
1 24 5.92
1 25 5.96
1 26 6.03
1 27 6.16
1 28 10.40
1 29 10.96
1 30 11.39
1 31 11.73
1 32 12.02
1 33 12.26
1 34 12.46
1 35 12.61
1 36 12.71
1 37 12.75
1 38 12.71
1 39 12.49
1 40 11.36
1 41 11.00
1 42 12.10
1 43 13.03
1 44 13.83
1 45 14.55
1 46 15.21
1 47 15.81
1 48 16.35
1 49 16.84
1 50 17.28
1 51 17.64
1 52 17.87
1 53 17.52
1 54 8.83
1 55 10.06
1 56 11.18
1 57 12.22
1 58 13.20
1 59 14.13
1 60 15.02
1 61 15.88
1 62 16.71
1 63 17.51
1 64 18.30
1 65 19.07
1 66 19.84
1 67 4.70
1 68 5.44
1 69 6.36
1 70 7.34
1 71 8.34
1 72 9.34
1 73 10.34
1 74 11.34
1 75 12.35
1 76 13.38
1 77 14.45
1 78 15.62
1 79 17.39
1 80 13.84
2 1 3.03
2 2 0.00
2 3 1.24
2 4 2.36
2 5 3.39
2 6 4.37
2 7 5.33
2 8 6.26
2 9 7.18
2 10 8.10
2 11 9.03
2 12 10.00
2 13 11.06
2 14 12.70
2 15 4.28
2 16 4.25
2 17 4.34
2 18 4.53
2 19 4.80
2 20 5.14
2 21 5.54
2 22 5.97
2 23 6.45
2 24 6.95
2 25 7.50
2 26 8.10
2 27 8.98
2 28 7.42
2 29 7.93
2 30 8.36
2 31 8.74
2 32 9.09
2 33 9.40
2 34 9.70
2 35 9.98
2 36 10.23
2 37 10.45
2 38 10.63
2 39 10.71
2 40 10.32
2 41 8.57
2 42 9.55
2 43 10.38
2 44 11.10
2 45 11.75
2 46 12.34
2 47 12.89
2 48 13.39
2 49 13.85
2 50 14.26
2 51 14.61
2 52 14.85
2 53 14.61
2 54 7.42
2 55 8.65
2 56 9.72
2 57 10.69
2 58 11.58
2 59 12.42
2 60 13.21
2 61 13.97
2 62 14.69
2 63 15.38
2 64 16.04
2 65 16.66
2 66 17.15
2 67 4.28
2 68 5.47
2 69 6.59
2 70 7.64
2 71 8.64
2 72 9.60
2 73 10.54
2 74 11.45
2 75 12.35
2 76 13.25
2 77 14.16
2 78 15.11
2 79 16.37
2 80 10.97
3 1 1.79
3 2 1.24
3 3 0.00
3 4 1.12
3 5 2.17
3 6 3.17
3 7 4.15
3 8 5.11
3 9 6.06
3 10 7.02
3 11 8.00
3 12 9.03
3 13 10.18
3 14 12.04
3 15 5.47
3 16 5.30
3 17 5.20
3 18 5.18
3 19 5.22
3 20 5.33
3 21 5.50
3 22 5.73
3 23 6.01
3 24 6.33
3 25 6.70
3 26 7.13
3 27 7.79
3 28 8.65
3 29 9.18
3 30 9.60
3 31 9.96
3 32 10.27
3 33 10.55
3 34 10.80
3 35 11.01
3 36 11.19
3 37 11.32
3 38 11.39
3 39 11.34
3 40 10.61
3 41 9.55
3 42 10.59
3 43 11.46
3 44 12.22
3 45 12.91
3 46 13.52
3 47 14.09
3 48 14.61
3 49 15.08
3 50 15.50
3 51 15.85
3 52 16.09
3 53 15.78
3 54 7.93
3 55 9.18
3 56 10.28
3 57 11.28
3 58 12.22
3 59 13.10
3 60 13.94
3 61 14.74
3 62 15.51
3 63 16.25
3 64 16.97
3 65 17.65
3 66 18.26
3 67 4.25
3 68 5.30
3 69 6.37
3 70 7.41
3 71 8.43
3 72 9.42
3 73 10.40
3 74 11.36
3 75 12.31
3 76 13.27
3 77 14.25
3 78 15.29
3 79 16.78
3 80 12.15
4 1 0.68
4 2 2.36
4 3 1.12
4 4 0.00
4 5 1.05
4 6 2.07
4 7 3.06
4 8 4.03
4 9 5.01
4 10 6.00
4 11 7.02
4 12 8.10
4 13 9.31
4 14 11.37
4 15 6.58
4 16 6.37
4 17 6.19
4 18 6.05
4 19 5.95
4 20 5.89
4 21 5.89
4 22 5.92
4 23 6.00
4 24 6.13
4 25 6.30
4 26 6.50
4 27 6.81
4 28 9.72
4 29 10.28
4 30 10.72
4 31 11.08
4 32 11.39
4 33 11.65
4 34 11.87
4 35 12.05
4 36 12.19
4 37 12.27
4 38 12.28
4 39 12.12
4 40 11.15
4 41 10.38
4 42 11.46
4 43 12.38
4 44 13.17
4 45 13.89
4 46 14.53
4 47 15.13
4 48 15.67
4 49 16.16
4 50 16.60
4 51 16.96
4 52 17.21
4 53 16.89
4 54 8.36
4 55 9.60
4 56 10.72
4 57 11.75
4 58 12.72
4 59 13.63
4 60 14.51
4 61 15.35
4 62 16.16
4 63 16.95
4 64 17.71
4 65 18.45
4 66 19.19
4 67 4.34
4 68 5.20
4 69 6.19
4 70 7.20
4 71 8.21
4 72 9.21
4 73 10.21
4 74 11.20
4 75 12.19
4 76 13.19
4 77 14.23
4 78 15.36
4 79 17.03
4 80 13.16
5 1 0.51
5 2 3.39
5 3 2.17
5 4 1.05
5 5 0.00
5 6 1.02
5 7 2.02
5 8 3.01
5 9 4.00
5 10 5.01
5 11 6.06
5 12 7.18
5 13 8.45
5 14 10.68
5 15 7.64
5 16 7.41
5 17 7.20
5 18 7.00
5 19 6.82
5 20 6.66
5 21 6.53
5 22 6.42
5 23 6.33
5 24 6.27
5 25 6.23
5 26 6.19
5 27 6.05
5 28 10.69
5 29 11.28
5 30 11.75
5 31 12.13
5 32 12.44
5 33 12.70
5 34 12.92
5 35 13.09
5 36 13.20
5 37 13.26
5 38 13.22
5 39 13.00
5 40 11.86
5 41 11.10
5 42 12.22
5 43 13.17
5 44 14.00
5 45 14.75
5 46 15.43
5 47 16.05
5 48 16.62
5 49 17.13
5 50 17.59
5 51 17.98
5 52 18.25
5 53 17.94
5 54 8.74
5 55 9.96
5 56 11.08
5 57 12.13
5 58 13.12
5 59 14.06
5 60 14.96
5 61 15.84
5 62 16.69
5 63 17.52
5 64 18.33
5 65 19.13
5 66 19.98
5 67 4.53
5 68 5.18
5 69 6.05
5 70 7.00
5 71 7.99
5 72 8.98
5 73 9.98
5 74 10.99
5 75 12.01
5 76 13.06
5 77 14.14
5 78 15.34
5 79 17.19
5 80 14.06
6 1 1.50
6 2 4.37
6 3 3.17
6 4 2.07
6 5 1.02
6 6 0.00
6 7 1.00
6 8 2.00
6 9 3.01
6 10 4.03
6 11 5.11
6 12 6.26
6 13 7.58
6 14 9.96
6 15 8.64
6 16 8.43
6 17 8.21
6 18 7.99
6 19 7.76
6 20 7.54
6 21 7.33
6 22 7.12
6 23 6.91
6 24 6.70
6 25 6.47
6 26 6.18
6 27 5.53
6 28 11.58
6 29 12.22
6 30 12.72
6 31 13.12
6 32 13.44
6 33 13.72
6 34 13.94
6 35 14.10
6 36 14.21
6 37 14.25
6 38 14.19
6 39 13.93
6 40 12.67
6 41 11.75
6 42 12.91
6 43 13.89
6 44 14.75
6 45 15.52
6 46 16.23
6 47 16.88
6 48 17.48
6 49 18.02
6 50 18.51
6 51 18.92
6 52 19.22
6 53 18.95
6 54 9.09
6 55 10.27
6 56 11.39
6 57 12.44
6 58 13.44
6 59 14.41
6 60 15.34
6 61 16.24
6 62 17.13
6 63 17.99
6 64 18.85
6 65 19.71
6 66 20.69
6 67 4.80
6 68 5.22
6 69 5.95
6 70 6.82
6 71 7.76
6 72 8.74
6 73 9.74
6 74 10.75
6 75 11.79
6 76 12.87
6 77 14.00
6 78 15.25
6 79 17.26
6 80 14.87
7 1 2.50
7 2 5.33
7 3 4.15
7 4 3.06
7 5 2.02
7 6 1.00
7 7 0.00
7 8 1.00
7 9 2.02
7 10 3.06
7 11 4.15
7 12 5.33
7 13 6.70
7 14 9.22
7 15 9.60
7 16 9.42
7 17 9.21
7 18 8.98
7 19 8.74
7 20 8.49
7 21 8.22
7 22 7.94
7 23 7.65
7 24 7.33
7 25 6.95
7 26 6.46
7 27 5.28
7 28 12.42
7 29 13.10
7 30 13.63
7 31 14.06
7 32 14.41
7 33 14.70
7 34 14.93
7 35 15.10
7 36 15.21
7 37 15.25
7 38 15.18
7 39 14.90
7 40 13.56
7 41 12.34
7 42 13.52
7 43 14.53
7 44 15.43
7 45 16.23
7 46 16.97
7 47 17.65
7 48 18.27
7 49 18.85
7 50 19.36
7 51 19.81
7 52 20.13
7 53 19.92
7 54 9.41
7 55 10.55
7 56 11.65
7 57 12.70
7 58 13.72
7 59 14.70
7 60 15.65
7 61 16.58
7 62 17.49
7 63 18.40
7 64 19.30
7 65 20.21
7 66 21.31
7 67 5.14
7 68 5.33
7 69 5.89
7 70 6.66
7 71 7.54
7 72 8.49
7 73 9.47
7 74 10.49
7 75 11.54
7 76 12.63
7 77 13.80
7 78 15.11
7 79 17.27
7 80 15.62
8 1 3.50
8 2 6.26
8 3 5.11
8 4 4.03
8 5 3.01
8 6 2.00
8 7 1.00
8 8 0.00
8 9 1.02
8 10 2.07
8 11 3.17
8 12 4.37
8 13 5.79
8 14 8.44
8 15 10.54
8 16 10.40
8 17 10.21
8 18 9.98
8 19 9.74
8 20 9.47
8 21 9.18
8 22 8.86
8 23 8.51
8 24 8.11
8 25 7.63
8 26 6.98
8 27 5.34
8 28 13.21
8 29 13.94
8 30 14.51
8 31 14.96
8 32 15.34
8 33 15.65
8 34 15.90
8 35 16.09
8 36 16.21
8 37 16.25
8 38 16.18
8 39 15.89
8 40 14.51
8 41 12.89
8 42 14.09
8 43 15.13
8 44 16.05
8 45 16.88
8 46 17.65
8 47 18.36
8 48 19.01
8 49 19.62
8 50 20.16
8 51 20.64
8 52 21.01
8 53 20.86
8 54 9.70
8 55 10.80
8 56 11.87
8 57 12.92
8 58 13.93
8 59 14.93
8 60 15.90
8 61 16.85
8 62 17.79
8 63 18.73
8 64 19.67
8 65 20.64
8 66 21.86
8 67 5.54
8 68 5.50
8 69 5.89
8 70 6.53
8 71 7.33
8 72 8.22
8 73 9.18
8 74 10.19
8 75 11.24
8 76 12.35
8 77 13.55
8 78 14.91
8 79 17.20
8 80 16.31
9 1 4.50
9 2 7.18
9 3 6.06
9 4 5.01
9 5 4.00
9 6 3.01
9 7 2.02
9 8 1.02
9 9 0.00
9 10 1.05
9 11 2.17
9 12 3.39
9 13 4.84
9 14 7.62
9 15 11.45
9 16 11.36
9 17 11.20
9 18 10.99
9 19 10.75
9 20 10.49
9 21 10.19
9 22 9.85
9 23 9.47
9 24 9.02
9 25 8.47
9 26 7.70
9 27 5.71
9 28 13.97
9 29 14.74
9 30 15.35
9 31 15.84
9 32 16.25
9 33 16.58
9 34 16.85
9 35 17.06
9 36 17.20
9 37 17.25
9 38 17.19
9 39 16.91
9 40 15.51
9 41 13.39
9 42 14.61
9 43 15.67
9 44 16.62
9 45 17.48
9 46 18.27
9 47 19.01
9 48 19.70
9 49 20.33
9 50 20.92
9 51 21.43
9 52 21.84
9 53 21.77
9 54 9.98
9 55 11.01
9 56 12.05
9 57 13.09
9 58 14.10
9 59 15.10
9 60 16.09
9 61 17.06
9 62 18.03
9 63 19.00
9 64 19.98
9 65 21.00
9 66 22.35
9 67 5.97
9 68 5.73
9 69 5.92
9 70 6.42
9 71 7.12
9 72 7.94
9 73 8.86
9 74 9.85
9 75 10.90
9 76 12.02
9 77 13.24
9 78 14.64
9 79 17.07
9 80 16.95
10 1 5.52
10 2 8.10
10 3 7.02
10 4 6.00
10 5 5.01
10 6 4.03
10 7 3.06
10 8 2.07
10 9 1.05
10 10 0.00
10 11 1.12
10 12 2.36
10 13 3.84
10 14 6.73
10 15 12.35
10 16 12.31
10 17 12.19
10 18 12.01
10 19 11.79
10 20 11.54
10 21 11.24
10 22 10.90
10 23 10.50
10 24 10.03
10 25 9.43
10 26 8.59
10 27 6.36
10 28 14.69
10 29 15.51
10 30 16.16
10 31 16.69
10 32 17.13
10 33 17.49
10 34 17.79
10 35 18.03
10 36 18.19
10 37 18.27
10 38 18.22
10 39 17.96
10 40 16.57
10 41 13.85
10 42 15.08
10 43 16.16
10 44 17.13
10 45 18.02
10 46 18.85
10 47 19.62
10 48 20.33
10 49 21.00
10 50 21.62
10 51 22.17
10 52 22.63
10 53 22.66
10 54 10.23
10 55 11.19
10 56 12.19
10 57 13.20
10 58 14.21
10 59 15.21
10 60 16.21
10 61 17.20
10 62 18.19
10 63 19.19
10 64 20.21
10 65 21.29
10 66 22.76
10 67 6.45
10 68 6.01
10 69 6.00
10 70 6.34
10 71 6.91
10 72 7.65
10 73 8.51
10 74 9.47
10 75 10.50
10 76 11.62
10 77 12.86
10 78 14.30
10 79 16.86
10 80 17.55
11 1 6.57
11 2 9.03
11 3 8.00
11 4 7.02
11 5 6.06
11 6 5.11
11 7 4.15
11 8 3.17
11 9 2.17
11 10 1.12
11 11 0.00
11 12 1.24
11 13 2.75
11 14 5.75
11 15 13.25
11 16 13.27
11 17 13.19
11 18 13.05
11 19 12.87
11 20 12.63
11 21 12.35
11 22 12.02
11 23 11.62
11 24 11.14
11 25 10.52
11 26 9.63
11 27 7.25
11 28 15.38
11 29 16.25
11 30 16.95
11 31 17.52
11 32 17.99
11 33 18.40
11 34 18.73
11 35 19.00
11 36 19.19
11 37 19.29
11 38 19.27
11 39 19.04
11 40 17.68
11 41 14.26
11 42 15.50
11 43 16.60
11 44 17.59
11 45 18.51
11 46 19.36
11 47 20.16
11 48 20.92
11 49 21.62
11 50 22.28
11 51 22.87
11 52 23.38
11 53 23.52
11 54 10.45
11 55 11.32
11 56 12.27
11 57 13.26
11 58 14.25
11 59 15.25
11 60 16.25
11 61 17.25
11 62 18.26
11 63 19.29
11 64 20.35
11 65 21.49
11 66 23.10
11 67 6.95
11 68 6.33
11 69 6.13
11 70 6.27
11 71 6.69
11 72 7.33
11 73 8.11
11 74 9.02
11 75 10.03
11 76 11.14
11 77 12.38
11 78 13.86
11 79 16.54
11 80 18.09
12 1 7.69
12 2 10.00
12 3 9.03
12 4 8.10
12 5 7.18
12 6 6.26
12 7 5.33
12 8 4.37
12 9 3.39
12 10 2.36
12 11 1.24
12 12 0.00
12 13 1.52
12 14 4.62
12 15 14.16
12 16 14.25
12 17 14.23
12 18 14.14
12 19 14.00
12 20 13.80
12 21 13.55
12 22 13.24
12 23 12.86
12 24 12.38
12 25 11.76
12 26 10.86
12 27 8.40
12 28 16.04
12 29 16.97
12 30 17.71
12 31 18.33
12 32 18.85
12 33 19.30
12 34 19.67
12 35 19.98
12 36 20.21
12 37 20.35
12 38 20.37
12 39 20.18
12 40 18.88
12 41 14.61
12 42 15.85
12 43 16.96
12 44 17.98
12 45 18.92
12 46 19.81
12 47 20.64
12 48 21.43
12 49 22.17
12 50 22.87
12 51 23.52
12 52 24.10
12 53 24.36
12 54 10.63
12 55 11.39
12 56 12.28
12 57 13.22
12 58 14.19
12 59 15.18
12 60 16.18
12 61 17.19
12 62 18.22
12 63 19.28
12 64 20.37
12 65 21.57
12 66 23.33
12 67 7.50
12 68 6.70
12 69 6.29
12 70 6.23
12 71 6.47
12 72 6.95
12 73 7.63
12 74 8.47
12 75 9.43
12 76 10.52
12 77 11.76
12 78 13.26
12 79 16.07
12 80 18.56
13 1 8.96
13 2 11.06
13 3 10.18
13 4 9.31
13 5 8.45
13 6 7.58
13 7 6.70
13 8 5.79
13 9 4.84
13 10 3.84
13 11 2.75
13 12 1.52
13 13 0.00
13 14 3.18
13 15 15.11
13 16 15.29
13 17 15.36
13 18 15.34
13 19 15.25
13 20 15.11
13 21 14.91
13 22 14.64
13 23 14.30
13 24 13.86
13 25 13.26
13 26 12.38
13 27 9.90
13 28 16.66
13 29 17.65
13 30 18.45
13 31 19.13
13 32 19.71
13 33 20.21
13 34 20.64
13 35 21.00
13 36 21.29
13 37 21.49
13 38 21.57
13 39 21.43
13 40 20.25
13 41 14.85
13 42 16.09
13 43 17.21
13 44 18.25
13 45 19.22
13 46 20.13
13 47 21.01
13 48 21.84
13 49 22.63
13 50 23.38
13 51 24.10
13 52 24.75
13 53 25.18
13 54 10.71
13 55 11.34
13 56 12.12
13 57 13.00
13 58 13.93
13 59 14.90
13 60 15.89
13 61 16.91
13 62 17.96
13 63 19.04
13 64 20.18
13 65 21.43
13 66 23.37
13 67 8.10
13 68 7.13
13 69 6.50
13 70 6.19
13 71 6.18
13 72 6.46
13 73 6.98
13 74 7.70
13 75 8.58
13 76 9.63
13 77 10.86
13 78 12.38
13 79 15.30
13 80 18.94
14 1 11.17
14 2 12.70
14 3 12.04
14 4 11.37
14 5 10.68
14 6 9.96
14 7 9.22
14 8 8.44
14 9 7.62
14 10 6.73
14 11 5.75
14 12 4.62
14 13 3.18
14 14 0.00
14 15 16.37
14 16 16.78
14 17 17.03
14 18 17.19
14 19 17.26
14 20 17.27
14 21 17.20
14 22 17.07
14 23 16.86
14 24 16.54
14 25 16.07
14 26 15.30
14 27 13.00
14 28 17.15
14 29 18.26
14 30 19.19
14 31 19.98
14 32 20.69
14 33 21.31
14 34 21.86
14 35 22.35
14 36 22.76
14 37 23.10
14 38 23.33
14 39 23.37
14 40 22.52
14 41 14.61
14 42 15.78
14 43 16.89
14 44 17.94
14 45 18.95
14 46 19.92
14 47 20.86
14 48 21.77
14 49 22.66
14 50 23.52
14 51 24.36
14 52 25.18
14 53 26.00
14 54 10.32
14 55 10.61
14 56 11.15
14 57 11.86
14 58 12.67
14 59 13.56
14 60 14.51
14 61 15.51
14 62 16.57
14 63 17.68
14 64 18.88
14 65 20.25
14 66 22.52
14 67 8.98
14 68 7.79
14 69 6.81
14 70 6.05
14 71 5.53
14 72 5.28
14 73 5.34
14 74 5.71
14 75 6.36
14 76 7.25
14 77 8.40
14 78 9.90
14 79 13.00
14 80 18.86
15 1 7.23
15 2 4.28
15 3 5.47
15 4 6.58
15 5 7.64
15 6 8.64
15 7 9.60
15 8 10.54
15 9 11.45
15 10 12.35
15 11 13.25
15 12 14.16
15 13 15.11
15 14 16.37
15 15 0.00
15 16 1.24
15 17 2.36
15 18 3.39
15 19 4.37
15 20 5.33
15 21 6.26
15 22 7.18
15 23 8.10
15 24 9.03
15 25 10.00
15 26 11.06
15 27 12.70
15 28 4.28
15 29 4.25
15 30 4.34
15 31 4.53
15 32 4.80
15 33 5.14
15 34 5.54
15 35 5.97
15 36 6.45
15 37 6.95
15 38 7.50
15 39 8.10
15 40 8.98
15 41 7.42
15 42 7.93
15 43 8.36
15 44 8.74
15 45 9.09
15 46 9.41
15 47 9.70
15 48 9.98
15 49 10.23
15 50 10.45
15 51 10.63
15 52 10.71
15 53 10.32
15 54 8.57
15 55 9.55
15 56 10.38
15 57 11.10
15 58 11.75
15 59 12.34
15 60 12.89
15 61 13.39
15 62 13.85
15 63 14.26
15 64 14.61
15 65 14.86
15 66 14.61
15 67 7.42
15 68 8.65
15 69 9.72
15 70 10.69
15 71 11.58
15 72 12.42
15 73 13.21
15 74 13.97
15 75 14.69
15 76 15.38
15 77 16.04
15 78 16.66
15 79 17.15
15 80 8.10
16 1 6.96
16 2 4.25
16 3 5.30
16 4 6.37
16 5 7.41
16 6 8.43
16 7 9.42
16 8 10.40
16 9 11.36
16 10 12.31
16 11 13.27
16 12 14.25
16 13 15.29
16 14 16.78
16 15 1.24
16 16 0.00
16 17 1.12
16 18 2.17
16 19 3.17
16 20 4.15
16 21 5.11
16 22 6.06
16 23 7.02
16 24 8.00
16 25 9.03
16 26 10.18
16 27 12.04
16 28 5.47
16 29 5.30
16 30 5.20
16 31 5.18
16 32 5.22
16 33 5.33
16 34 5.50
16 35 5.73
16 36 6.01
16 37 6.33
16 38 6.70
16 39 7.13
16 40 7.78
16 41 8.65
16 42 9.18
16 43 9.60
16 44 9.96
16 45 10.27
16 46 10.55
16 47 10.80
16 48 11.01
16 49 11.19
16 50 11.32
16 51 11.39
16 52 11.34
16 53 10.61
16 54 9.55
16 55 10.60
16 56 11.47
16 57 12.23
16 58 12.91
16 59 13.53
16 60 14.09
16 61 14.61
16 62 15.08
16 63 15.50
16 64 15.85
16 65 16.09
16 66 15.78
16 67 7.93
16 68 9.18
16 69 10.28
16 70 11.28
16 71 12.22
16 72 13.10
16 73 13.94
16 74 14.74
16 75 15.51
16 76 16.25
16 77 16.97
16 78 17.65
16 79 18.26
16 80 9.27
17 1 6.71
17 2 4.34
17 3 5.20
17 4 6.19
17 5 7.20
17 6 8.21
17 7 9.21
17 8 10.21
17 9 11.20
17 10 12.19
17 11 13.19
17 12 14.23
17 13 15.36
17 14 17.03
17 15 2.36
17 16 1.12
17 17 0.00
17 18 1.05
17 19 2.07
17 20 3.06
17 21 4.03
17 22 5.01
17 23 6.00
17 24 7.02
17 25 8.10
17 26 9.31
17 27 11.37
17 28 6.58
17 29 6.37
17 30 6.19
17 31 6.05
17 32 5.95
17 33 5.89
17 34 5.89
17 35 5.92
17 36 6.00
17 37 6.13
17 38 6.29
17 39 6.50
17 40 6.81
17 41 9.72
17 42 10.28
17 43 10.72
17 44 11.08
17 45 11.39
17 46 11.65
17 47 11.87
17 48 12.05
17 49 12.19
17 50 12.27
17 51 12.28
17 52 12.12
17 53 11.15
17 54 10.38
17 55 11.47
17 56 12.38
17 57 13.17
17 58 13.89
17 59 14.53
17 60 15.13
17 61 15.67
17 62 16.16
17 63 16.60
17 64 16.96
17 65 17.21
17 66 16.89
17 67 8.36
17 68 9.60
17 69 10.72
17 70 11.75
17 71 12.72
17 72 13.63
17 73 14.51
17 74 15.35
17 75 16.16
17 76 16.95
17 77 17.71
17 78 18.45
17 79 19.19
17 80 10.38
18 1 6.49
18 2 4.53
18 3 5.18
18 4 6.05
18 5 7.00
18 6 7.99
18 7 8.98
18 8 9.98
18 9 10.99
18 10 12.01
18 11 13.05
18 12 14.14
18 13 15.34
18 14 17.19
18 15 3.39
18 16 2.17
18 17 1.05
18 18 0.00
18 19 1.02
18 20 2.02
18 21 3.01
18 22 4.00
18 23 5.01
18 24 6.06
18 25 7.18
18 26 8.45
18 27 10.68
18 28 7.64
18 29 7.41
18 30 7.20
18 31 7.00
18 32 6.82
18 33 6.66
18 34 6.53
18 35 6.42
18 36 6.34
18 37 6.27
18 38 6.23
18 39 6.19
18 40 6.05
18 41 10.69
18 42 11.28
18 43 11.75
18 44 12.13
18 45 12.44
18 46 12.70
18 47 12.92
18 48 13.09
18 49 13.20
18 50 13.26
18 51 13.22
18 52 13.00
18 53 11.86
18 54 11.10
18 55 12.23
18 56 13.17
18 57 14.00
18 58 14.75
18 59 15.43
18 60 16.05
18 61 16.61
18 62 17.13
18 63 17.59
18 64 17.98
18 65 18.25
18 66 17.94
18 67 8.74
18 68 9.96
18 69 11.08
18 70 12.13
18 71 13.11
18 72 14.06
18 73 14.96
18 74 15.84
18 75 16.69
18 76 17.52
18 77 18.33
18 78 19.13
18 79 19.98
18 80 11.43
19 1 6.31
19 2 4.80
19 3 5.22
19 4 5.95
19 5 6.82
19 6 7.76
19 7 8.74
19 8 9.74
19 9 10.75
19 10 11.79
19 11 12.87
19 12 14.00
19 13 15.25
19 14 17.26
19 15 4.37
19 16 3.17
19 17 2.07
19 18 1.02
19 19 0.00
19 20 1.00
19 21 2.00
19 22 3.01
19 23 4.03
19 24 5.11
19 25 6.26
19 26 7.58
19 27 9.96
19 28 8.64
19 29 8.43
19 30 8.21
19 31 7.99
19 32 7.76
19 33 7.54
19 34 7.33
19 35 7.12
19 36 6.91
19 37 6.70
19 38 6.47
19 39 6.18
19 40 5.53
19 41 11.58
19 42 12.22
19 43 12.72
19 44 13.12
19 45 13.44
19 46 13.72
19 47 13.93
19 48 14.10
19 49 14.21
19 50 14.25
19 51 14.19
19 52 13.93
19 53 12.67
19 54 11.75
19 55 12.91
19 56 13.89
19 57 14.75
19 58 15.52
19 59 16.23
19 60 16.88
19 61 17.48
19 62 18.02
19 63 18.51
19 64 18.92
19 65 19.22
19 66 18.95
19 67 9.09
19 68 10.27
19 69 11.39
19 70 12.44
19 71 13.44
19 72 14.41
19 73 15.34
19 74 16.24
19 75 17.13
19 76 17.99
19 77 18.85
19 78 19.71
19 79 20.69
19 80 12.44
20 1 6.15
20 2 5.14
20 3 5.33
20 4 5.89
20 5 6.66
20 6 7.54
20 7 8.49
20 8 9.47
20 9 10.49
20 10 11.54
20 11 12.63
20 12 13.80
20 13 15.11
20 14 17.27
20 15 5.33
20 16 4.15
20 17 3.06
20 18 2.02
20 19 1.00
20 20 0.00
20 21 1.00
20 22 2.02
20 23 3.06
20 24 4.15
20 25 5.33
20 26 6.70
20 27 9.22
20 28 9.60
20 29 9.42
20 30 9.21
20 31 8.98
20 32 8.74
20 33 8.49
20 34 8.22
20 35 7.94
20 36 7.65
20 37 7.33
20 38 6.95
20 39 6.46
20 40 5.28
20 41 12.42
20 42 13.10
20 43 13.63
20 44 14.06
20 45 14.41
20 46 14.70
20 47 14.93
20 48 15.10
20 49 15.21
20 50 15.25
20 51 15.18
20 52 14.90
20 53 13.56
20 54 12.34
20 55 13.53
20 56 14.53
20 57 15.43
20 58 16.23
20 59 16.97
20 60 17.65
20 61 18.27
20 62 18.85
20 63 19.36
20 64 19.81
20 65 20.13
20 66 19.92
20 67 9.40
20 68 10.55
20 69 11.65
20 70 12.70
20 71 13.72
20 72 14.70
20 73 15.65
20 74 16.58
20 75 17.49
20 76 18.40
20 77 19.30
20 78 20.21
20 79 21.31
20 80 13.42
21 1 6.03
21 2 5.54
21 3 5.50
21 4 5.89
21 5 6.53
21 6 7.33
21 7 8.22
21 8 9.18
21 9 10.19
21 10 11.24
21 11 12.35
21 12 13.55
21 13 14.91
21 14 17.20
21 15 6.26
21 16 5.11
21 17 4.03
21 18 3.01
21 19 2.00
21 20 1.00
21 21 0.00
21 22 1.02
21 23 2.07
21 24 3.17
21 25 4.38
21 26 5.79
21 27 8.44
21 28 10.54
21 29 10.40
